ID,DataType,ProductionString,UpdatedTS,DeviceID,MachineID
1,11,START-11-323-20231209-100656-END,2023-12-09 10:06:56,11,323
2,41,START-41-323-20231209-100656-END,2023-12-09 10:06:56,11,323
3,40,START-40-323-20231209-100700-END,2023-12-09 10:07:00,11,323
4,41,START-41-323-20231209-100700-END,2023-12-09 10:07:00,11,323
5,40,START-40-323-20231209-100704-END,2023-12-09 10:07:04,11,323
6,1,START-1-323-20231209-100656-20231209-100704-END,2023-12-09 10:07:04,11,323
7,11,START-11-323-20231209-100712-END,2023-12-09 10:07:12,11,323
8,41,START-41-323-20231209-100712-END,2023-12-09 10:07:12,11,323
9,40,START-40-323-20231209-100716-END,2023-12-09 10:07:16,11,323
10,41,START-41-323-20231209-100716-END,2023-12-09 10:07:16,11,323
11,40,START-40-323-20231209-100720-END,2023-12-09 10:07:20,11,323
12,1,START-1-323-20231209-100712-20231209-100720-END,2023-12-09 10:07:20,11,323
13,11,START-11-323-20231209-100728-END,2023-12-09 10:07:28,11,323
14,41,START-41-323-20231209-100728-END,2023-12-09 10:07:28,11,323
15,40,START-40-323-20231209-100732-END,2023-12-09 10:07:32,11,323
16,41,START-41-323-20231209-100732-END,2023-12-09 10:07:32,11,323
17,40,START-40-323-20231209-100736-END,2023-12-09 10:07:36,11,323
18,41,START-41-323-20231209-100736-END,2023-12-09 10:07:36,11,323
19,40,START-40-323-20231209-100740-END,2023-12-09 10:07:40,11,323
20,41,START-41-323-20231209-100740-END,2023-12-09 10:07:40,11,323
21,40,START-40-323-20231209-100744-END,2023-12-09 10:07:44,11,323
22,41,START-41-323-20231209-100744-END,2023-12-09 10:07:44,11,323
23,40,START-40-323-20231209-100748-END,2023-12-09 10:07:48,11,323
24,41,START-41-323-20231209-100748-END,2023-12-09 10:07:48,11,323
25,40,START-40-323-20231209-100752-END,2023-12-09 10:07:52,11,323
26,41,START-41-323-20231209-100752-END,2023-12-09 10:07:52,11,323
27,40,START-40-323-20231209-100756-END,2023-12-09 10:07:56,11,323
28,41,START-41-323-20231209-100756-END,2023-12-09 10:07:56,11,323
29,40,START-40-323-20231209-100800-END,2023-12-09 10:08:00,11,323
30,41,START-41-323-20231209-100800-END,2023-12-09 10:08:00,11,323
31,40,START-40-323-20231209-100804-END,2023-12-09 10:08:04,11,323
32,41,START-41-323-20231209-100804-END,2023-12-09 10:08:04,11,323
33,40,START-40-323-20231209-100807-END,2023-12-09 10:08:08,11,323
34,1,START-1-323-20231209-100728-20231209-100808-END,2023-12-09 10:08:08,11,323
35,11,START-11-323-20231209-100816-END,2023-12-09 10:08:16,11,323
36,41,START-41-323-20231209-100816-END,2023-12-09 10:08:16,11,323
37,40,START-40-323-20231209-100820-END,2023-12-09 10:08:20,11,323
38,41,START-41-323-20231209-100820-END,2023-12-09 10:08:20,11,323
39,40,START-40-323-20231209-100823-END,2023-12-09 10:08:24,11,323
40,41,START-41-323-20231209-100824-END,2023-12-09 10:08:24,11,323
41,11,START-11-323-20231209-101032-END,2023-12-09 10:10:32,11,323
42,41,START-41-323-20231209-101032-END,2023-12-09 10:10:32,11,323
43,40,START-40-323-20231209-101036-END,2023-12-09 10:10:36,11,323
44,41,START-41-323-20231209-101036-END,2023-12-09 10:10:36,11,323
45,40,START-40-323-20231209-101040-END,2023-12-09 10:10:40,11,323
46,41,START-41-323-20231209-101040-END,2023-12-09 10:10:40,11,323
47,40,START-40-323-20231209-101044-END,2023-12-09 10:10:44,11,323
48,41,START-41-323-20231209-101044-END,2023-12-09 10:10:44,11,323
49,40,START-40-323-20231209-101048-END,2023-12-09 10:10:48,11,323
50,41,START-41-323-20231209-101048-END,2023-12-09 10:10:48,11,323
51,40,START-40-323-20231209-101051-END,2023-12-09 10:10:51,11,323
52,41,START-41-323-20231209-101051-END,2023-12-09 10:10:52,11,323
53,40,START-40-323-20231209-101055-END,2023-12-09 10:10:55,11,323
54,41,START-41-323-20231209-101055-END,2023-12-09 10:10:56,11,323
55,40,START-40-323-20231209-101059-END,2023-12-09 10:10:59,11,323
56,41,START-41-323-20231209-101059-END,2023-12-09 10:10:59,11,323
57,40,START-40-323-20231209-101103-END,2023-12-09 10:11:03,11,323
58,41,START-41-323-20231209-101103-END,2023-12-09 10:11:03,11,323
59,40,START-40-323-20231209-101107-END,2023-12-09 10:11:07,11,323
60,41,START-41-323-20231209-101107-END,2023-12-09 10:11:07,11,323
61,40,START-40-323-20231209-101111-END,2023-12-09 10:11:11,11,323
62,1,START-1-323-20231209-101032-20231209-101111-END,2023-12-09 10:11:11,11,323
63,11,START-11-323-20231209-101119-END,2023-12-09 10:11:19,11,323
64,41,START-41-323-20231209-101119-END,2023-12-09 10:11:19,11,323
65,40,START-40-323-20231209-101123-END,2023-12-09 10:11:23,11,323
66,41,START-41-323-20231209-101123-END,2023-12-09 10:11:23,11,323
67,40,START-40-323-20231209-101127-END,2023-12-09 10:11:27,11,323
68,41,START-41-323-20231209-101127-END,2023-12-09 10:11:27,11,323
69,40,START-40-323-20231209-101131-END,2023-12-09 10:11:31,11,323
70,41,START-41-323-20231209-101131-END,2023-12-09 10:11:31,11,323
71,40,START-40-323-20231209-101135-END,2023-12-09 10:11:35,11,323
72,41,START-41-323-20231209-101135-END,2023-12-09 10:11:35,11,323
73,40,START-40-323-20231209-101139-END,2023-12-09 10:11:39,11,323
74,41,START-41-323-20231209-101139-END,2023-12-09 10:11:39,11,323
75,40,START-40-323-20231209-101143-END,2023-12-09 10:11:43,11,323
76,41,START-41-323-20231209-101143-END,2023-12-09 10:11:43,11,323
77,40,START-40-323-20231209-101147-END,2023-12-09 10:11:47,11,323
78,41,START-41-323-20231209-101147-END,2023-12-09 10:11:47,11,323
79,40,START-40-323-20231209-101151-END,2023-12-09 10:11:51,11,323
80,41,START-41-323-20231209-101151-END,2023-12-09 10:11:51,11,323
81,40,START-40-323-20231209-101155-END,2023-12-09 10:11:55,11,323
82,41,START-41-323-20231209-101155-END,2023-12-09 10:11:55,11,323
83,40,START-40-323-20231209-101159-END,2023-12-09 10:11:59,11,323
84,1,START-1-323-20231209-101119-20231209-101159-END,2023-12-09 10:11:59,11,323
85,11,START-11-323-20231209-101207-END,2023-12-09 10:12:07,11,323
86,41,START-41-323-20231209-101207-END,2023-12-09 10:12:07,11,323
87,40,START-40-323-20231209-101211-END,2023-12-09 10:12:11,11,323
88,41,START-41-323-20231209-101211-END,2023-12-09 10:12:11,11,323
89,40,START-40-323-20231209-101215-END,2023-12-09 10:12:15,11,323
90,41,START-41-323-20231209-101215-END,2023-12-09 10:12:15,11,323
91,40,START-40-323-20231209-101219-END,2023-12-09 10:12:19,11,323
92,41,START-41-323-20231209-101219-END,2023-12-09 10:12:19,11,323
93,40,START-40-323-20231209-101223-END,2023-12-09 10:12:23,11,323
94,41,START-41-323-20231209-101223-END,2023-12-09 10:12:23,11,323
95,40,START-40-323-20231209-101227-END,2023-12-09 10:12:27,11,323
96,41,START-41-323-20231209-101227-END,2023-12-09 10:12:27,11,323
97,40,START-40-323-20231209-101230-END,2023-12-09 10:12:30,11,323
98,41,START-41-323-20231209-101231-END,2023-12-09 10:12:31,11,323
99,40,START-40-323-20231209-101234-END,2023-12-09 10:12:34,11,323
100,41,START-41-323-20231209-101234-END,2023-12-09 10:12:35,11,323
101,40,START-40-323-20231209-101238-END,2023-12-09 10:12:38,11,323
102,41,START-41-323-20231209-101238-END,2023-12-09 10:12:39,11,323
103,40,START-40-323-20231209-101242-END,2023-12-09 10:12:42,11,323
104,41,START-41-323-20231209-101242-END,2023-12-09 10:12:43,11,323
105,40,START-40-323-20231209-101246-END,2023-12-09 10:12:46,11,323
106,1,START-1-323-20231209-101207-20231209-101246-END,2023-12-09 10:12:46,11,323
107,11,START-11-323-20231209-101254-END,2023-12-09 10:12:54,11,323
108,41,START-41-323-20231209-101254-END,2023-12-09 10:12:54,11,323
109,40,START-40-323-20231209-101258-END,2023-12-09 10:12:58,11,323
110,41,START-41-323-20231209-101258-END,2023-12-09 10:12:58,11,323
111,40,START-40-323-20231209-101302-END,2023-12-09 10:13:02,11,323
112,41,START-41-323-20231209-101302-END,2023-12-09 10:13:02,11,323
113,40,START-40-323-20231209-101306-END,2023-12-09 10:13:06,11,323
114,41,START-41-323-20231209-101306-END,2023-12-09 10:13:06,11,323
115,40,START-40-323-20231209-101310-END,2023-12-09 10:13:10,11,323
116,41,START-41-323-20231209-101310-END,2023-12-09 10:13:10,11,323
117,40,START-40-323-20231209-101314-END,2023-12-09 10:13:14,11,323
118,41,START-41-323-20231209-101314-END,2023-12-09 10:13:14,11,323
119,40,START-40-323-20231209-101318-END,2023-12-09 10:13:18,11,323
120,41,START-41-323-20231209-101318-END,2023-12-09 10:13:18,11,323
121,40,START-40-323-20231209-101322-END,2023-12-09 10:13:22,11,323
122,41,START-41-323-20231209-101322-END,2023-12-09 10:13:22,11,323
123,40,START-40-323-20231209-101326-END,2023-12-09 10:13:26,11,323
124,41,START-41-323-20231209-101326-END,2023-12-09 10:13:26,11,323
125,40,START-40-323-20231209-101330-END,2023-12-09 10:13:30,11,323
126,41,START-41-323-20231209-101330-END,2023-12-09 10:13:30,11,323
127,40,START-40-323-20231209-101334-END,2023-12-09 10:13:34,11,323
128,1,START-1-323-20231209-101254-20231209-101334-END,2023-12-09 10:13:34,11,323
129,11,START-11-323-20231209-101342-END,2023-12-09 10:13:42,11,323
130,41,START-41-323-20231209-101342-END,2023-12-09 10:13:42,11,323
131,40,START-40-323-20231209-101346-END,2023-12-09 10:13:46,11,323
132,41,START-41-323-20231209-101346-END,2023-12-09 10:13:46,11,323
133,40,START-40-323-20231209-101350-END,2023-12-09 10:13:50,11,323
134,41,START-41-323-20231209-101350-END,2023-12-09 10:13:50,11,323
135,40,START-40-323-20231209-101354-END,2023-12-09 10:13:54,11,323
136,41,START-41-323-20231209-101354-END,2023-12-09 10:13:54,11,323
137,40,START-40-323-20231209-101358-END,2023-12-09 10:13:58,11,323
138,41,START-41-323-20231209-101358-END,2023-12-09 10:13:58,11,323
139,40,START-40-323-20231209-101402-END,2023-12-09 10:14:02,11,323
140,41,START-41-323-20231209-101402-END,2023-12-09 10:14:02,11,323
141,40,START-40-323-20231209-101406-END,2023-12-09 10:14:06,11,323
142,41,START-41-323-20231209-101406-END,2023-12-09 10:14:06,11,323
143,40,START-40-323-20231209-101410-END,2023-12-09 10:14:10,11,323
144,41,START-41-323-20231209-101410-END,2023-12-09 10:14:10,11,323
145,40,START-40-323-20231209-101413-END,2023-12-09 10:14:13,11,323
146,41,START-41-323-20231209-101414-END,2023-12-09 10:14:14,11,323
147,40,START-40-323-20231209-101417-END,2023-12-09 10:14:17,11,323
148,41,START-41-323-20231209-101417-END,2023-12-09 10:14:18,11,323
149,40,START-40-323-20231209-101421-END,2023-12-09 10:14:21,11,323
150,1,START-1-323-20231209-101342-20231209-101421-END,2023-12-09 10:14:21,11,323
151,11,START-11-323-20231209-101429-END,2023-12-09 10:14:29,11,323
152,41,START-41-323-20231209-101430-END,2023-12-09 10:14:30,11,323
153,40,START-40-323-20231209-101433-END,2023-12-09 10:14:33,11,323
154,41,START-41-323-20231209-101433-END,2023-12-09 10:14:34,11,323
